"
","Average standard variable tariff (Large legacy suppliers)","Average standard variable tariff (Other suppliers)","Average fixed tariff","Cheapest tariff (Large legacy suppliers)","Cheapest tariff (All suppliers)","Cheapest tariff (Basket)","Default tariff cap level"
"2012-01-28 00:00:00",1020.16,1024.33,,915.27,906.56,947.56,
"2012-02-28 00:00:00",1000.76,1017.41,,886.18,878.1,930.29,
"2012-03-28 00:00:00",997.25,1017.41,,886.18,878.1,936.54,
"2012-04-28 00:00:00",997.25,1017.35,,895.69,878.1,937.68,
"2012-05-28 00:00:00",997.25,1017.35,,895.69,878.1,929.78,
"2012-06-28 00:00:00",997.25,1032.16,,895.69,895.69,945.53,
"2012-07-28 00:00:00",997.25,1032.16,,895.69,875.93,928.99,
"2012-08-28 00:00:00",997.25,1030.02,,899.1,875.93,924.85,
"2012-09-28 00:00:00",997.25,1017.84,,901.47,875.93,931.04,
"2012-10-28 00:00:00",1009,1020.51,,906.17,893.85,956,
"2012-11-28 00:00:00",1030.78,1075.12,,958.21,909.59,997.71,
"2012-12-28 00:00:00",1061.8,1087.65,,990.7,909.59,994.59,
"2013-01-28 00:00:00",1074.42,1087.65,,957.18,909.59,990.81,
"2013-02-28 00:00:00",1074.42,1119.05,,957.18,909.59,994.56,
"2013-03-28 00:00:00",1074.42,1119.05,,966.54,909.59,995.5,
"2013-04-28 00:00:00",1074.42,1119.05,,966.54,909.59,988.37,
"2013-05-28 00:00:00",1074.43,1119.05,,966.54,962.43,997.77,
"2013-06-28 00:00:00",1074.43,1119.05,,966.54,769.95,967.26,
"2013-07-28 00:00:00",1074.45,1119.05,,984.68,769.95,974.82,
"2013-08-28 00:00:00",1074.45,1119.05,,971.77,769.95,988.47,
"2013-09-28 00:00:00",1074.45,1119.05,,971.77,769.95,979.55,
"2013-10-28 00:00:00",1074.45,1127.02,,1011.8,769.95,995.67,
"2013-11-28 00:00:00",1105.94,1123.75,,993.4,769.95,992.26,
"2013-12-28 00:00:00",1138.95,1123.75,,1033.47,769.95,997,
"2014-01-28 00:00:00",1145.84,1125.14,,1033.47,975.21,1013.73,
"2014-02-28 00:00:00",1134.09,1128.76,,1033.97,966.34,1014.19,
"2014-03-28 00:00:00",1128.1,1126.61,,1024.79,964.31,1016.25,
"2014-04-28 00:00:00",1128.1,1129.62,,1000.38,946.42,995.26,
"2014-05-28 00:00:00",1128.1,1129.62,,1000.38,944.55,995.13,
"2014-06-28 00:00:00",1128.1,1129.62,,1000.38,944.55,992.88,
"2014-07-28 00:00:00",1128.1,1134.19,,1000.38,944.95,976.39,
"2014-08-28 00:00:00",1128.1,1127.79,,1000.38,943.43,978.98,
"2014-09-28 00:00:00",1128.1,1158.39,,960.9,942.27,972.34,
"2014-10-28 00:00:00",1128.1,1131.8,,953.4,931.02,960.15,
"2014-11-28 00:00:00",1128.1,1131.8,,921.88,914.51,947.94,
"2014-12-28 00:00:00",1128.1,1130.51,,916.21,906.14,929.69,
"2015-01-28 00:00:00",1124.33,1130.51,,875.4,871.26,895.39,
"2015-02-28 00:00:00",1106.65,1110.84,,839.28,839.28,881.39,
"2015-03-28 00:00:00",1106.65,1088.31,,836.99,836.99,892.38,
"2015-04-28 00:00:00",1106.65,1075.32,,834.57,834.57,878.56,
"2015-05-28 00:00:00",1102.28,1073.26,,835.19,830.56,877.12,
"2015-06-28 00:00:00",1102.28,1073.26,,835.71,830.56,871.21,
"2015-07-28 00:00:00",1102.28,1066.77,,863.85,830.56,867.88,
"2015-08-28 00:00:00",1098.03,1066.77,,876.03,830.56,868.79,
"2015-09-28 00:00:00",1098.03,1054.98,,876.03,830.56,858.62,
"2015-10-28 00:00:00",1098.03,1050.12,,803,793.93,823,
"2015-11-28 00:00:00",1098.03,1040.7,,805.4,787.05,810.84,
"2015-12-28 00:00:00",1098.03,1039.03,,850.52,787.05,803.86,
"2016-01-28 00:00:00",1098.03,1035.48,,769.69,765,785.04,
"2016-02-28 00:00:00",1092.69,1020.06,,738.38,738.38,755.65,
"2016-03-28 00:00:00",1071.44,1013,,727.7,727.7,756.05,
"2016-04-28 00:00:00",1065.97,978.55,,723.91,723.91,751.58,
"2016-05-28 00:00:00",1065.97,976.04,,723.23,723.23,742.71,
"2016-06-28 00:00:00",1065.97,984.02,,723.23,723.23,751.36,
"2016-07-28 00:00:00",1065.97,988.7,,779.39,758.31,779.72,
"2016-08-28 00:00:00",1065.97,983.86,,801.37,769.65,789.25,
"2016-09-28 00:00:00",1065.97,983.89,,754.64,744.3,777,
"2016-10-28 00:00:00",1065.97,994.93,,803.54,741.92,786.41,
"2016-11-28 00:00:00",1065.97,1012.84,,897.18,790.02,859.23,
"2016-12-28 00:00:00",1065.97,1019.72,,951.51,790.02,872.16,
"2017-01-28 00:00:00",1061.06,1020.1,,951.51,833.71,881.11,
"2017-02-28 00:00:00",1081.27,1027.06,949.47,928.48,829.1,869.79,
"2017-03-28 00:00:00",1109.48,1035.47,951,922.23,829.1,873.38,
"2017-04-28 00:00:00",1122.28,1041.56,953.16,923.55,863.31,874.62,
"2017-05-28 00:00:00",1122.28,1039.22,928.4,923.57,826.52,861.76,
"2017-06-28 00:00:00",1122.28,1026.98,953.14,923.57,835.76,852.58,
"2017-07-28 00:00:00",1122.28,1030.63,913.45,922.82,829.91,844.94,
"2017-08-28 00:00:00",1122.28,1030.76,954.78,910.05,810.11,839.3,
"2017-09-28 00:00:00",1134.95,1026.42,959.4,904.48,826.73,837.66,
"2017-10-28 00:00:00",1134.95,1031.41,978.38,897.98,826.73,854.69,
"2017-11-28 00:00:00",1134.95,1044.84,965.89,928.59,826.73,846.77,
"2017-12-28 00:00:00",1134.95,1040.86,986.54,973.04,798.72,841.48,
"2018-01-28 00:00:00",1134.95,1036.14,948.05,907.89,809.32,840.81,
"2018-02-28 00:00:00",1134.95,1039.85,958.59,900.98,810.06,840.58,
